length_range,average
-10,1121.3031759776259
+10000,290978.6
10-100,4229.236706734068
100-200,12248.791701522503
1000-2000,43371.882474226804
200-500,13696.968064153067
2000-3000,79891.44444444444
3000-4000,136308.61363636365
4000-5000,56168.434782608696
500-800,17093.40594059406
5000-6000,111389.7
6000-7000,133331
7000-8000,183603.875
800-1000,20665.720930232557
8000-9000,98126
